id,image,h_div,num_of_swap,swap_log,grid_w,grid_h,factor,source_image
30,000000002543_f28_h2_s3.png,2,3,"[[0, 3], [2, 1], [0, 1]]",2,2,28,COCO_train2014_000000002543.jpg
31,000000002544_f28_h3_s2.png,3,2,"[[1, 0], [1, 5]]",2,3,28,COCO_train2014_000000002544.jpg
32,000000002583_f28_h4_s2.png,4,2,"[[1, 7], [2, 1]]",2,4,28,COCO_train2014_000000002583.jpg
33,000000002693_f28_h4_s2.png,4,2,"[[17, 5], [8, 17]]",5,4,28,COCO_train2014_000000002693.jpg
34,000000002703_f28_h4_s2.png,4,2,"[[3, 9], [11, 3]]",3,4,28,COCO_train2014_000000002703.jpg
35,000000002732_f28_h4_s2.png,4,2,"[[12, 22], [20, 11]]",6,4,28,COCO_train2014_000000002732.jpg
36,000000002774_f28_h3_s3.png,3,3,"[[3, 0], [1, 2], [0, 3]]",2,3,28,COCO_train2014_000000002774.jpg
37,000000002998_f28_h2_s3.png,2,3,"[[1, 3], [1, 0], [0, 3]]",2,2,28,COCO_train2014_000000002998.jpg
38,000000003040_f28_h4_s1.png,4,1,"[[7, 2]]",5,4,28,COCO_train2014_000000003040.jpg
39,000000003076_f28_h2_s2.png,2,2,"[[0, 3], [1, 2]]",2,2,28,COCO_train2014_000000003076.jpg
40,000000003148_f28_h4_s2.png,4,2,"[[6, 18], [4, 19]]",5,4,28,COCO_train2014_000000003148.jpg
41,000000003157_f28_h4_s2.png,4,2,"[[7, 16], [13, 6]]",5,4,28,COCO_train2014_000000003157.jpg
42,000000003219_f28_h2_s1.png,2,1,"[[3, 1]]",2,2,28,COCO_train2014_000000003219.jpg
43,000000003366_f28_h3_s2.png,3,2,"[[7, 0], [10, 11]]",4,3,28,COCO_train2014_000000003366.jpg
44,000000003493_f28_h4_s1.png,4,1,"[[0, 4]]",2,4,28,COCO_train2014_000000003493.jpg
45,000000003528_f28_h4_s2.png,4,2,"[[1, 2], [3, 1]]",2,4,28,COCO_train2014_000000003528.jpg
46,000000003613_f28_h4_s2.png,4,2,"[[2, 7], [2, 5]]",3,4,28,COCO_train2014_000000003613.jpg
47,000000003668_f28_h3_s1.png,3,1,"[[1, 8]]",4,3,28,COCO_train2014_000000003668.jpg
48,000000003671_f28_h4_s1.png,4,1,"[[1, 18]]",5,4,28,COCO_train2014_000000003671.jpg
49,000000003729_f28_h2_s1.png,2,1,"[[1, 0]]",2,2,28,COCO_train2014_000000003729.jpg
50,000000003789_f28_h3_s2.png,3,2,"[[7, 3], [6, 0]]",4,3,28,COCO_train2014_000000003789.jpg
51,000000003899_f28_h2_s2.png,2,2,"[[0, 4], [2, 4]]",3,2,28,COCO_train2014_000000003899.jpg
52,000000004377_f28_h3_s2.png,3,2,"[[11, 12], [12, 8]]",5,3,28,COCO_train2014_000000004377.jpg
53,000000004442_f28_h4_s3.png,4,3,"[[15, 4], [6, 10], [6, 1]]",5,4,28,COCO_train2014_000000004442.jpg
54,000000004481_f28_h4_s3.png,4,3,"[[8, 0], [11, 5], [0, 1]]",3,4,28,COCO_train2014_000000004481.jpg
55,000000004488_f28_h4_s2.png,4,2,"[[16, 17], [5, 1]]",5,4,28,COCO_train2014_000000004488.jpg
56,000000004502_f28_h4_s1.png,4,1,"[[5, 2]]",5,4,28,COCO_train2014_000000004502.jpg
57,000000004517_f28_h4_s1.png,4,1,"[[7, 13]]",5,4,28,COCO_train2014_000000004517.jpg
58,000000004546_f28_h2_s3.png,2,3,"[[1, 3], [0, 3], [0, 2]]",2,2,28,COCO_train2014_000000004546.jpg
59,000000004574_f28_h4_s3.png,4,3,"[[9, 8], [5, 4], [3, 11]]",3,4,28,COCO_train2014_000000004574.jpg
60,000000004595_f28_h4_s2.png,4,2,"[[7, 9], [12, 4]]",5,4,28,COCO_train2014_000000004595.jpg
61,000000004859_f28_h4_s3.png,4,3,"[[9, 15], [10, 2], [0, 15]]",6,4,28,COCO_train2014_000000004859.jpg
62,000000004893_f28_h4_s3.png,4,3,"[[3, 2], [17, 6], [16, 8]]",5,4,28,COCO_train2014_000000004893.jpg
63,000000004903_f28_h2_s2.png,2,2,"[[0, 1], [2, 1]]",2,2,28,COCO_train2014_000000004903.jpg
64,000000004981_f28_h2_s2.png,2,2,"[[2, 3], [0, 3]]",2,2,28,COCO_train2014_000000004981.jpg
65,000000005095_f28_h4_s2.png,4,2,"[[3, 5], [8, 3]]",5,4,28,COCO_train2014_000000005095.jpg
66,000000005256_f28_h4_s1.png,4,1,"[[8, 4]]",4,4,28,COCO_train2014_000000005256.jpg
67,000000005260_f28_h4_s1.png,4,1,"[[10, 6]]",5,4,28,COCO_train2014_000000005260.jpg
68,000000005263_f28_h4_s3.png,4,3,"[[4, 5], [7, 2], [0, 1]]",2,4,28,COCO_train2014_000000005263.jpg
69,000000005335_f28_h4_s2.png,4,2,"[[8, 1], [0, 11]]",5,4,28,COCO_train2014_000000005335.jpg
70,000000005425_f28_h2_s3.png,2,3,"[[2, 1], [5, 3], [4, 3]]",3,2,28,COCO_train2014_000000005425.jpg
71,000000005554_f28_h4_s1.png,4,1,"[[3, 2]]",5,4,28,COCO_train2014_000000005554.jpg
72,000000005564_f28_h4_s1.png,4,1,"[[17, 1]]",5,4,28,COCO_train2014_000000005564.jpg
73,000000005703_f28_h3_s3.png,3,3,"[[4, 1], [3, 1], [0, 3]]",2,3,28,COCO_train2014_000000005703.jpg
74,000000005745_f28_h3_s1.png,3,1,"[[5, 3]]",4,3,28,COCO_train2014_000000005745.jpg
75,000000005906_f28_h4_s1.png,4,1,"[[3, 6]]",4,4,28,COCO_train2014_000000005906.jpg
76,000000005913_f28_h4_s2.png,4,2,"[[19, 4], [7, 5]]",5,4,28,COCO_train2014_000000005913.jpg
77,000000006066_f28_h4_s2.png,4,2,"[[13, 12], [7, 4]]",4,4,28,COCO_train2014_000000006066.jpg
78,000000006229_f28_h2_s3.png,2,3,"[[0, 4], [0, 4], [1, 2]]",3,2,28,COCO_train2014_000000006229.jpg
79,000000006270_f28_h3_s2.png,3,2,"[[4, 3], [3, 0]]",4,3,28,COCO_train2014_000000006270.jpg
80,000000006421_f28_h4_s1.png,4,1,"[[12, 10]]",5,4,28,COCO_train2014_000000006421.jpg
81,000000006432_f28_h3_s1.png,3,1,"[[2, 3]]",2,3,28,COCO_train2014_000000006432.jpg
82,000000006520_f28_h4_s3.png,4,3,"[[12, 10], [10, 0], [3, 15]]",4,4,28,COCO_train2014_000000006520.jpg
83,000000006541_f28_h3_s1.png,3,1,"[[9, 4]]",4,3,28,COCO_train2014_000000006541.jpg
84,000000006572_f28_h2_s1.png,2,1,"[[3, 1]]",2,2,28,COCO_train2014_000000006572.jpg
85,000000006627_f28_h4_s2.png,4,2,"[[13, 20], [16, 3]]",7,4,28,COCO_train2014_000000006627.jpg
86,000000006632_f28_h3_s3.png,3,3,"[[1, 3], [0, 4], [0, 5]]",2,3,28,COCO_train2014_000000006632.jpg
87,000000006709_f28_h4_s3.png,4,3,"[[6, 12], [13, 2], [10, 11]]",5,4,28,COCO_train2014_000000006709.jpg
88,000000006760_f28_h4_s1.png,4,1,"[[23, 9]]",6,4,28,COCO_train2014_000000006760.jpg
89,000000006800_f28_h4_s2.png,4,2,"[[21, 13], [10, 13]]",6,4,28,COCO_train2014_000000006800.jpg
90,000000006824_f28_h4_s2.png,4,2,"[[17, 4], [6, 14]]",5,4,28,COCO_train2014_000000006824.jpg
91,000000006981_f28_h4_s2.png,4,2,"[[10, 2], [9, 10]]",3,4,28,COCO_train2014_000000006981.jpg
92,000000007167_f28_h3_s2.png,3,2,"[[8, 0], [4, 5]]",4,3,28,COCO_train2014_000000007167.jpg
93,000000007489_f28_h2_s2.png,2,2,"[[9, 10], [10, 5]]",6,2,28,COCO_train2014_000000007489.jpg
94,000000007500_f28_h3_s2.png,3,2,"[[7, 11], [3, 9]]",4,3,28,COCO_train2014_000000007500.jpg
95,000000007539_f28_h3_s3.png,3,3,"[[2, 11], [1, 5], [8, 11]]",4,3,28,COCO_train2014_000000007539.jpg
96,000000007643_f28_h4_s3.png,4,3,"[[10, 2], [7, 10], [7, 6]]",5,4,28,COCO_train2014_000000007643.jpg
97,000000007740_f28_h2_s1.png,2,1,"[[0, 1]]",2,2,28,COCO_train2014_000000007740.jpg
98,000000007758_f28_h3_s3.png,3,3,"[[13, 12], [1, 8], [6, 11]]",5,3,28,COCO_train2014_000000007758.jpg
99,000000007778_f28_h4_s1.png,4,1,"[[12, 16]]",5,4,28,COCO_train2014_000000007778.jpg
100,000000007894_f28_h3_s1.png,3,1,"[[1, 0]]",2,3,28,COCO_train2014_000000007894.jpg
101,000000007934_f28_h2_s2.png,2,2,"[[1, 0], [3, 0]]",2,2,28,COCO_train2014_000000007934.jpg
102,000000007954_f28_h4_s1.png,4,1,"[[1, 8]]",3,4,28,COCO_train2014_000000007954.jpg
103,000000008245_f28_h2_s2.png,2,2,"[[2, 1], [3, 2]]",2,2,28,COCO_train2014_000000008245.jpg
104,000000008305_f28_h3_s1.png,3,1,"[[11, 7]]",4,3,28,COCO_train2014_000000008305.jpg
105,000000008329_f28_h3_s2.png,3,2,"[[3, 11], [4, 9]]",4,3,28,COCO_train2014_000000008329.jpg
106,000000008336_f28_h3_s3.png,3,3,"[[3, 5], [7, 1], [11, 4]]",4,3,28,COCO_train2014_000000008336.jpg
107,000000008369_f28_h2_s2.png,2,2,"[[2, 1], [0, 1]]",2,2,28,COCO_train2014_000000008369.jpg
108,000000008439_f28_h2_s1.png,2,1,"[[3, 1]]",3,2,28,COCO_train2014_000000008439.jpg
109,000000008553_f28_h4_s1.png,4,1,"[[2, 14]]",5,4,28,COCO_train2014_000000008553.jpg
110,000000008587_f28_h3_s2.png,3,2,"[[8, 7], [6, 0]]",4,3,28,COCO_train2014_000000008587.jpg
111,000000008639_f28_h2_s2.png,2,2,"[[3, 5], [5, 0]]",3,2,28,COCO_train2014_000000008639.jpg
112,000000008691_f28_h4_s2.png,4,2,"[[7, 0], [5, 2]]",2,4,28,COCO_train2014_000000008691.jpg
113,000000008761_f28_h3_s2.png,3,2,"[[8, 9], [9, 3]]",4,3,28,COCO_train2014_000000008761.jpg
114,000000008785_f28_h3_s1.png,3,1,"[[2, 4]]",2,3,28,COCO_train2014_000000008785.jpg
115,000000008909_f28_h3_s1.png,3,1,"[[6, 5]]",4,3,28,COCO_train2014_000000008909.jpg
116,000000009287_f28_h4_s3.png,4,3,"[[12, 5], [14, 4], [19, 17]]",5,4,28,COCO_train2014_000000009287.jpg
117,000000009509_f28_h4_s3.png,4,3,"[[21, 0], [2, 21], [13, 4]]",6,4,28,COCO_train2014_000000009509.jpg
118,000000009615_f28_h3_s1.png,3,1,"[[0, 5]]",4,3,28,COCO_train2014_000000009615.jpg
119,000000009669_f28_h3_s2.png,3,2,"[[1, 4], [2, 3]]",2,3,28,COCO_train2014_000000009669.jpg
120,000000009738_f28_h3_s2.png,3,2,"[[6, 4], [1, 8]]",4,3,28,COCO_train2014_000000009738.jpg
121,000000009789_f28_h2_s3.png,2,3,"[[0, 2], [1, 3], [0, 3]]",2,2,28,COCO_train2014_000000009789.jpg
122,000000009809_f28_h2_s1.png,2,1,"[[0, 3]]",2,2,28,COCO_train2014_000000009809.jpg
123,000000009843_f28_h2_s1.png,2,1,"[[1, 2]]",2,2,28,COCO_train2014_000000009843.jpg
124,000000009859_f28_h4_s1.png,4,1,"[[9, 3]]",3,4,28,COCO_train2014_000000009859.jpg
125,000000010196_f28_h3_s3.png,3,3,"[[4, 6], [2, 10], [9, 1]]",4,3,28,COCO_train2014_000000010196.jpg
126,000000010241_f28_h2_s2.png,2,2,"[[0, 3], [0, 2]]",2,2,28,COCO_train2014_000000010241.jpg
127,000000010319_f28_h4_s3.png,4,3,"[[12, 13], [6, 2], [18, 7]]",5,4,28,COCO_train2014_000000010319.jpg
128,000000010421_f28_h3_s3.png,3,3,"[[9, 1], [9, 0], [5, 9]]",4,3,28,COCO_train2014_000000010421.jpg
129,000000010547_f28_h3_s3.png,3,3,"[[5, 1], [8, 11], [5, 0]]",4,3,28,COCO_train2014_000000010547.jpg
130,000000010639_f28_h2_s2.png,2,2,"[[2, 4], [5, 1]]",3,2,28,COCO_train2014_000000010639.jpg
131,000000010733_f28_h3_s1.png,3,1,"[[11, 8]]",4,3,28,COCO_train2014_000000010733.jpg
132,000000010831_f28_h4_s2.png,4,2,"[[19, 17], [15, 14]]",5,4,28,COCO_train2014_000000010831.jpg
133,000000010925_f28_h3_s3.png,3,3,"[[9, 4], [5, 3], [1, 5]]",4,3,28,COCO_train2014_000000010925.jpg
134,000000011052_f28_h3_s1.png,3,1,"[[7, 6]]",3,3,28,COCO_train2014_000000011052.jpg
135,000000011222_f28_h3_s1.png,3,1,"[[3, 2]]",2,3,28,COCO_train2014_000000011222.jpg
136,000000011258_f28_h2_s2.png,2,2,"[[1, 2], [2, 1]]",2,2,28,COCO_train2014_000000011258.jpg
137,000000011336_f28_h3_s3.png,3,3,"[[11, 4], [8, 0], [8, 3]]",4,3,28,COCO_train2014_000000011336.jpg
138,000000011485_f28_h4_s2.png,4,2,"[[15, 18], [7, 16]]",5,4,28,COCO_train2014_000000011485.jpg
139,000000011677_f28_h4_s3.png,4,3,"[[15, 7], [0, 2], [9, 3]]",4,4,28,COCO_train2014_000000011677.jpg
140,000000011758_f28_h3_s3.png,3,3,"[[3, 5], [10, 9], [5, 8]]",4,3,28,COCO_train2014_000000011758.jpg
141,000000011775_f28_h4_s3.png,4,3,"[[11, 14], [17, 10], [11, 15]]",5,4,28,COCO_train2014_000000011775.jpg
142,000000011791_f28_h3_s2.png,3,2,"[[4, 3], [1, 4]]",4,3,28,COCO_train2014_000000011791.jpg
143,000000011801_f28_h3_s1.png,3,1,"[[8, 2]]",3,3,28,COCO_train2014_000000011801.jpg
144,000000011802_f28_h2_s1.png,2,1,"[[3, 1]]",2,2,28,COCO_train2014_000000011802.jpg
145,000000012079_f28_h4_s3.png,4,3,"[[8, 10], [4, 1], [3, 5]]",3,4,28,COCO_train2014_000000012079.jpg
146,000000012181_f28_h2_s2.png,2,2,"[[0, 3], [1, 2]]",2,2,28,COCO_train2014_000000012181.jpg
147,000000012307_f28_h2_s1.png,2,1,"[[2, 3]]",2,2,28,COCO_train2014_000000012307.jpg
148,000000012416_f28_h2_s3.png,2,3,"[[3, 0], [0, 3], [2, 1]]",2,2,28,COCO_train2014_000000012416.jpg
149,000000012429_f28_h3_s2.png,3,2,"[[5, 2], [0, 5]]",4,3,28,COCO_train2014_000000012429.jpg
150,000000012472_f28_h3_s1.png,3,1,"[[0, 4]]",2,3,28,COCO_train2014_000000012472.jpg
151,000000012529_f28_h3_s1.png,3,1,"[[4, 0]]",2,3,28,COCO_train2014_000000012529.jpg
152,000000012597_f28_h2_s1.png,2,1,"[[2, 0]]",2,2,28,COCO_train2014_000000012597.jpg
153,000000012620_f28_h2_s1.png,2,1,"[[4, 3]]",3,2,28,COCO_train2014_000000012620.jpg
154,000000012726_f28_h4_s3.png,4,3,"[[19, 7], [16, 12], [14, 15]]",5,4,28,COCO_train2014_000000012726.jpg
155,000000012873_f28_h3_s3.png,3,3,"[[3, 2], [4, 5], [0, 5]]",2,3,28,COCO_train2014_000000012873.jpg
156,000000012999_f28_h4_s1.png,4,1,"[[6, 7]]",5,4,28,COCO_train2014_000000012999.jpg
157,000000013016_f28_h3_s3.png,3,3,"[[1, 3], [3, 2], [8, 1]]",4,3,28,COCO_train2014_000000013016.jpg
158,000000013020_f28_h2_s1.png,2,1,"[[6, 8]]",6,2,28,COCO_train2014_000000013020.jpg
159,000000013140_f28_h4_s3.png,4,3,"[[15, 9], [1, 8], [9, 10]]",5,4,28,COCO_train2014_000000013140.jpg
160,000000013267_f28_h4_s2.png,4,2,"[[2, 8], [8, 19]]",5,4,28,COCO_train2014_000000013267.jpg
161,000000013336_f28_h4_s1.png,4,1,"[[6, 0]]",2,4,28,COCO_train2014_000000013336.jpg
162,000000013364_f28_h4_s1.png,4,1,"[[20, 4]]",6,4,28,COCO_train2014_000000013364.jpg
163,000000013417_f28_h3_s1.png,3,1,"[[1, 0]]",4,3,28,COCO_train2014_000000013417.jpg
164,000000013565_f28_h4_s3.png,4,3,"[[18, 9], [14, 3], [14, 9]]",5,4,28,COCO_train2014_000000013565.jpg
165,000000013650_f28_h4_s2.png,4,2,"[[8, 17], [17, 15]]",5,4,28,COCO_train2014_000000013650.jpg
166,000000013835_f28_h3_s1.png,3,1,"[[4, 0]]",2,3,28,COCO_train2014_000000013835.jpg
167,000000013868_f28_h3_s3.png,3,3,"[[5, 4], [0, 2], [3, 0]]",3,3,28,COCO_train2014_000000013868.jpg
168,000000013912_f28_h4_s2.png,4,2,"[[18, 1], [5, 16]]",5,4,28,COCO_train2014_000000013912.jpg
169,000000013969_f28_h4_s3.png,4,3,"[[14, 8], [5, 19], [13, 16]]",5,4,28,COCO_train2014_000000013969.jpg
170,000000014014_f28_h2_s2.png,2,2,"[[2, 1], [2, 1]]",2,2,28,COCO_train2014_000000014014.jpg
171,000000014070_f28_h4_s1.png,4,1,"[[5, 11]]",5,4,28,COCO_train2014_000000014070.jpg
172,000000014159_f28_h3_s3.png,3,3,"[[7, 4], [10, 6], [8, 0]]",4,3,28,COCO_train2014_000000014159.jpg
173,000000014209_f28_h3_s1.png,3,1,"[[5, 4]]",4,3,28,COCO_train2014_000000014209.jpg
174,000000014244_f28_h3_s1.png,3,1,"[[6, 9]]",4,3,28,COCO_train2014_000000014244.jpg
175,000000014446_f28_h4_s2.png,4,2,"[[13, 1], [6, 17]]",5,4,28,COCO_train2014_000000014446.jpg
176,000000014536_f28_h3_s3.png,3,3,"[[7, 8], [0, 4], [4, 2]]",3,3,28,COCO_train2014_000000014536.jpg
177,000000014543_f28_h3_s2.png,3,2,"[[11, 7], [1, 0]]",4,3,28,COCO_train2014_000000014543.jpg
178,000000014611_f28_h4_s3.png,4,3,"[[7, 23], [5, 10], [17, 0]]",6,4,28,COCO_train2014_000000014611.jpg
179,000000014628_f28_h4_s2.png,4,2,"[[2, 8], [3, 15]]",5,4,28,COCO_train2014_000000014628.jpg
180,000000014683_f28_h2_s3.png,2,3,"[[1, 2], [2, 3], [2, 1]]",2,2,28,COCO_train2014_000000014683.jpg
181,000000014769_f28_h3_s2.png,3,2,"[[3, 8], [8, 2]]",4,3,28,COCO_train2014_000000014769.jpg
182,000000014819_f28_h3_s1.png,3,1,"[[14, 9]]",5,3,28,COCO_train2014_000000014819.jpg
183,000000014857_f28_h4_s3.png,4,3,"[[2, 1], [4, 7], [5, 9]]",3,4,28,COCO_train2014_000000014857.jpg
184,000000015011_f28_h3_s1.png,3,1,"[[4, 5]]",4,3,28,COCO_train2014_000000015011.jpg
185,000000015112_f28_h4_s3.png,4,3,"[[10, 7], [2, 8], [8, 7]]",3,4,28,COCO_train2014_000000015112.jpg
186,000000015126_f28_h3_s2.png,3,2,"[[4, 5], [3, 4]]",2,3,28,COCO_train2014_000000015126.jpg
187,000000015174_f28_h3_s1.png,3,1,"[[5, 1]]",2,3,28,COCO_train2014_000000015174.jpg
188,000000015198_f28_h4_s2.png,4,2,"[[7, 14], [1, 11]]",5,4,28,COCO_train2014_000000015198.jpg
189,000000015220_f28_h4_s2.png,4,2,"[[6, 3], [2, 4]]",2,4,28,COCO_train2014_000000015220.jpg
190,000000015346_f28_h2_s1.png,2,1,"[[4, 5]]",3,2,28,COCO_train2014_000000015346.jpg
191,000000015347_f28_h3_s1.png,3,1,"[[7, 1]]",3,3,28,COCO_train2014_000000015347.jpg
192,000000015354_f28_h4_s2.png,4,2,"[[0, 5], [13, 4]]",5,4,28,COCO_train2014_000000015354.jpg
193,000000015366_f28_h2_s2.png,2,2,"[[2, 3], [4, 3]]",3,2,28,COCO_train2014_000000015366.jpg
194,000000015427_f28_h4_s1.png,4,1,"[[10, 18]]",5,4,28,COCO_train2014_000000015427.jpg
195,000000015496_f28_h3_s2.png,3,2,"[[10, 7], [8, 0]]",4,3,28,COCO_train2014_000000015496.jpg
196,000000015546_f28_h4_s1.png,4,1,"[[7, 11]]",4,4,28,COCO_train2014_000000015546.jpg
197,000000015644_f28_h4_s2.png,4,2,"[[7, 2], [13, 3]]",5,4,28,COCO_train2014_000000015644.jpg
198,000000015684_f28_h4_s3.png,4,3,"[[3, 15], [5, 23], [9, 0]]",6,4,28,COCO_train2014_000000015684.jpg
199,000000016246_f28_h2_s2.png,2,2,"[[0, 2], [2, 1]]",2,2,28,COCO_train2014_000000016246.jpg
200,000000016253_f28_h3_s1.png,3,1,"[[3, 9]]",4,3,28,COCO_train2014_000000016253.jpg
201,000000016334_f28_h4_s1.png,4,1,"[[2, 1]]",2,4,28,COCO_train2014_000000016334.jpg
202,000000016355_f28_h2_s3.png,2,3,"[[3, 2], [1, 2], [1, 0]]",2,2,28,COCO_train2014_000000016355.jpg
203,000000016408_f28_h3_s3.png,3,3,"[[4, 8], [4, 11], [0, 8]]",4,3,28,COCO_train2014_000000016408.jpg
204,000000016449_f28_h3_s3.png,3,3,"[[8, 2], [1, 8], [5, 4]]",3,3,28,COCO_train2014_000000016449.jpg
205,000000016486_f28_h4_s2.png,4,2,"[[22, 8], [14, 9]]",6,4,28,COCO_train2014_000000016486.jpg
206,000000016531_f28_h3_s1.png,3,1,"[[3, 7]]",4,3,28,COCO_train2014_000000016531.jpg
207,000000016670_f28_h4_s2.png,4,2,"[[9, 4], [11, 4]]",3,4,28,COCO_train2014_000000016670.jpg
208,000000016693_f28_h2_s3.png,2,3,"[[3, 1], [0, 3], [0, 3]]",2,2,28,COCO_train2014_000000016693.jpg
209,000000017096_f28_h4_s2.png,4,2,"[[9, 7], [19, 11]]",5,4,28,COCO_train2014_000000017096.jpg
210,000000017137_f28_h2_s3.png,2,3,"[[1, 3], [2, 3], [1, 3]]",2,2,28,COCO_train2014_000000017137.jpg
211,000000017420_f28_h2_s3.png,2,3,"[[5, 0], [2, 4], [0, 5]]",3,2,28,COCO_train2014_000000017420.jpg
212,000000017450_f28_h3_s3.png,3,3,"[[2, 1], [4, 6], [6, 2]]",3,3,28,COCO_train2014_000000017450.jpg
213,000000017487_f28_h2_s1.png,2,1,"[[4, 2]]",3,2,28,COCO_train2014_000000017487.jpg
214,000000017551_f28_h4_s3.png,4,3,"[[4, 2], [4, 8], [4, 6]]",3,4,28,COCO_train2014_000000017551.jpg
215,000000017586_f28_h2_s2.png,2,2,"[[0, 1], [1, 3]]",2,2,28,COCO_train2014_000000017586.jpg
216,000000017683_f28_h4_s3.png,4,3,"[[12, 26], [17, 11], [2, 26]]",7,4,28,COCO_train2014_000000017683.jpg
217,000000017766_f28_h3_s1.png,3,1,"[[2, 5]]",2,3,28,COCO_train2014_000000017766.jpg
218,000000017866_f28_h3_s3.png,3,3,"[[5, 2], [4, 3], [5, 2]]",2,3,28,COCO_train2014_000000017866.jpg
219,000000017914_f28_h2_s3.png,2,3,"[[1, 2], [0, 3], [2, 3]]",2,2,28,COCO_train2014_000000017914.jpg
220,000000018040_f28_h2_s3.png,2,3,"[[3, 2], [5, 3], [0, 2]]",3,2,28,COCO_train2014_000000018040.jpg
221,000000018179_f28_h2_s1.png,2,1,"[[2, 1]]",2,2,28,COCO_train2014_000000018179.jpg
222,000000018252_f28_h2_s1.png,2,1,"[[1, 3]]",2,2,28,COCO_train2014_000000018252.jpg
223,000000018265_f28_h2_s2.png,2,2,"[[3, 1], [3, 2]]",2,2,28,COCO_train2014_000000018265.jpg
224,000000018309_f28_h4_s3.png,4,3,"[[4, 14], [20, 3], [15, 20]]",6,4,28,COCO_train2014_000000018309.jpg
225,000000018530_f28_h3_s2.png,3,2,"[[0, 6], [3, 8]]",4,3,28,COCO_train2014_000000018530.jpg
226,000000018554_f28_h3_s1.png,3,1,"[[2, 0]]",2,3,28,COCO_train2014_000000018554.jpg
227,000000018557_f28_h4_s2.png,4,2,"[[17, 21], [11, 1]]",7,4,28,COCO_train2014_000000018557.jpg
228,000000018571_f28_h3_s2.png,3,2,"[[3, 1], [7, 1]]",4,3,28,COCO_train2014_000000018571.jpg
229,000000018691_f28_h4_s1.png,4,1,"[[19, 0]]",5,4,28,COCO_train2014_000000018691.jpg
